route,lat,lon,genus,species,count
1008,36.461944,-116.866667,Chaetodipus,penicillatus,52
1008,36.461944,-116.866667,Chaetodipus,spp.,4
1008,36.461944,-116.866667,Dipodomys,deserti,12
1008,36.461944,-116.866667,Dipodomys,merriami,20
1008,36.461944,-116.866667,Perognathus,longimembris,5
1008,36.461944,-116.866667,Perognathus,parvus,9
1008,36.461944,-116.866667,Neotoma,lepida,50
1008,36.461944,-116.866667,Peromyscus,boylii,18
1008,36.461944,-116.866667,Peromyscus,crinitus,79
1008,36.461944,-116.866667,Peromyscus,eremicus,59
1008,36.461944,-116.866667,Peromyscus,maniculatus,78
1008,36.461944,-116.866667,Peromyscus,spp.,6
1008,36.461944,-116.866667,Peromyscus,truei,47
1008,36.461944,-116.866667,Tamias,panamintinus,2
1009,33.837197,-115.952919,Chaetodipus,fallax,16
1009,33.837197,-115.952919,Chaetodipus,formosus,3
1009,33.837197,-115.952919,Chaetodipus,penicillatus,10
1009,33.837197,-115.952919,Chaetodipus,spinatus,11
1009,33.837197,-115.952919,Chaetodipus,spp.,3
1009,33.837197,-115.952919,Dipodomys,merriami,77
1009,33.837197,-115.952919,Perognathus,longimembris,45
1009,33.837197,-115.952919,Neotoma,lepida,16
1009,33.837197,-115.952919,Onychomys,torridus,2
1009,33.837197,-115.952919,Peromyscus,boylii,3
1009,33.837197,-115.952919,Peromyscus,crinitus,12
1009,33.837197,-115.952919,Peromyscus,eremicus,17
1009,33.837197,-115.952919,Peromyscus,maniculatus,1
1009,33.837197,-115.952919,Peromyscus,spp.,1
1009,33.837197,-115.952919,Peromyscus,truei,4
1009,33.837197,-115.952919,Ammospermophilus,leucurus,3
1010,36,-114.460561,Chaetodipus,formosus,11
1010,36,-114.460561,Chaetodipus,spinatus,1
1010,36,-114.460561,Chaetodipus,spp.,10
1010,36,-114.460561,Dipodomys,deserti,1
1010,36,-114.460561,Dipodomys,merriami,16
1010,36,-114.460561,Perognathus,longimembris,5
1010,36,-114.460561,Mus,musculus,4
1010,36,-114.460561,Neotoma,devia,4
1010,36,-114.460561,Neotoma,lepida,11
1010,36,-114.460561,Peromyscus,boylii,8
1010,36,-114.460561,Peromyscus,crinitus,31
1010,36,-114.460561,Peromyscus,eremicus,79
1010,36,-114.460561,Peromyscus,spp.,3
1010,36,-114.460561,Peromyscus,truei,3
1010,36,-114.460561,Ammospermophilus,harrisii,2
1010,36,-114.460561,Tamias,dorsalis,1
1011,36.727447,-118.153897,Dipodomys,merriami,29
1011,36.727447,-118.153897,Dipodomys,panamintinus,1
1011,36.727447,-118.153897,Perognathus,longimembris,12
1011,36.727447,-118.153897,Microtus,californicus,2
1011,36.727447,-118.153897,Neotoma,lepida,1
1011,36.727447,-118.153897,Onychomys,torridus,2
1011,36.727447,-118.153897,Peromyscus,boylii,27
1011,36.727447,-118.153897,Peromyscus,maniculatus,42
1011,36.727447,-118.153897,Reithrodontomys,megalotis,6
1011,36.727447,-118.153897,Ammospermophilus,leucurus,1
1012,35.042881,-115.40036,Chaetodipus,fallax,3
1012,35.042881,-115.40036,Chaetodipus,formosus,13
1012,35.042881,-115.40036,Chaetodipus,penicillatus,12
1012,35.042881,-115.40036,Chaetodipus,spinatus,12
1012,35.042881,-115.40036,Chaetodipus,spp.,3
1012,35.042881,-115.40036,Dipodomys,deserti,6
1012,35.042881,-115.40036,Dipodomys,merriami,28
1012,35.042881,-115.40036,Dipodomys,panamintinus,1
1012,35.042881,-115.40036,Perognathus,longimembris,2
1001,54.96667,-131.31667,Canis,lupus,
1001,54.96667,-131.31667,Odocoileus,hemionus,
1001,54.96667,-131.31667,Peromyscus,keeni,55
1001,54.96667,-131.31667,Neovison,vison,1
1001,54.96667,-131.31667,Sorex,monticolus,8
1002,55.38333,-132.41667,Castor,canadensis,
1002,55.38333,-132.41667,Odocoileus,hemionus,
1002,55.38333,-132.41667,Microtus,longicaudus,1
1002,55.38333,-132.41667,Peromyscus,keeni,69
1002,55.38333,-132.41667,Lontra,canadensis,1
1002,55.38333,-132.41667,Sorex,monticolus,21
1002,55.38333,-132.41667,Ursus,americanus,
1003,55.7,-132.71667,Odocoileus,hemionus,
1003,55.7,-132.71667,Peromyscus,keeni,5
1003,55.7,-132.71667,Sorex,monticolus,11
1004,56.51667,-132.45,Sorex,cinereus,5
1004,56.51667,-132.45,Ursus,spp.,
1005,57.41667,-133.93333,Odocoileus,hemionus,
1005,57.41667,-133.93333,Peromyscus,keeni,53
1005,57.41667,-133.93333,Lontra,canadensis,1
